ID,RNA_CoExp_w_GenAge
CTSRD_HUMAN,4
CTSRG_HUMAN,1
CTTB2_HUMAN,9
CTU1_HUMAN,24
CTU2_HUMAN,43
CTXN1_HUMAN,14
CTXN2_HUMAN,4
CTXN3_HUMAN,12
CU002_HUMAN,46
CU024_HUMAN,7
CU025_HUMAN,35
CU037_HUMAN,
CU042_HUMAN,29
CU054_HUMAN,
CU058_HUMAN,38
CU059_HUMAN,29
CU062_HUMAN,12
CU067_HUMAN,
CU074_HUMAN,2
CU077_HUMAN,
CU082_HUMAN,1
CU084_HUMAN,5
CU086_HUMAN,
CU093_HUMAN,
CU104_HUMAN,
CU129_HUMAN,1
CU136_HUMAN,5
CU140_HUMAN,5
CUBN_HUMAN,12
CUED1_HUMAN,57
CUED2_HUMAN,60
CUL1_HUMAN,27
CUL2_HUMAN,16
CUL3_HUMAN,25
CUL4A_HUMAN,59
CUL4B_HUMAN,40
CUL5_HUMAN,28
CUL7_HUMAN,63
CUL9_HUMAN,17
CUTA_HUMAN,63
CUTC_HUMAN,36
CUX1_HUMAN,41
CUX2_HUMAN,7
CUZD1_HUMAN,14
CV015_HUMAN,3
CV024_HUMAN,2
CV031_HUMAN,9
CV034_HUMAN,
CV037_HUMAN,20
CV039_HUMAN,35
CV042_HUMAN,10
CV046_HUMAN,8
CWC15_HUMAN,29
CWC22_HUMAN,49
CWC25_HUMAN,24
CWC27_HUMAN,47
CX021_HUMAN,49
CX023_HUMAN,18
CX024_HUMAN,
CX028_HUMAN,
CX031_HUMAN,
CX038_HUMAN,43
CX042_HUMAN,6
CX049_HUMAN,
CX04A_HUMAN,27
CX04B_HUMAN,21
CX056_HUMAN,38
CX057_HUMAN,34
CX058_HUMAN,0
CX062_HUMAN,5
CX065_HUMAN,6
CX066_HUMAN,
CX067_HUMAN,
CX3C1_HUMAN,24
CX6A1_HUMAN,41
CX6A2_HUMAN,16
CX6B1_HUMAN,34
CX6B2_HUMAN,5
CX7A1_HUMAN,39
CX7A2_HUMAN,30
CX7B2_HUMAN,6
CXA10_HUMAN,
CXA1_HUMAN,40
CXA3_HUMAN,20
CXA4_HUMAN,47
CXA5_HUMAN,33
CXA8_HUMAN,0
CXA9_HUMAN,0
CXAR_HUMAN,28
CXB1_HUMAN,23
CXB2_HUMAN,15
CXB3_HUMAN,19
CXB4_HUMAN,2
CXB5_HUMAN,13
CXB6_HUMAN,11
CXB7_HUMAN,5
CXCL2_HUMAN,40
CXCL3_HUMAN,33
CXCL5_HUMAN,12
CXCL6_HUMAN,25
CXCL7_HUMAN,9
CXCL9_HUMAN,9
CXCR1_HUMAN,25
CXCR2_HUMAN,27
CXCR3_HUMAN,33
CXCR4_HUMAN,37
CXCR5_HUMAN,16
CXCR6_HUMAN,6
CXD2_HUMAN,5
CXD3_HUMAN,5
CXD4_HUMAN,1
CXE1_HUMAN,
CXG1_HUMAN,32
CXG2_HUMAN,8
CXG3_HUMAN,5
CXL10_HUMAN,18
CXL11_HUMAN,19
CXL13_HUMAN,6
CXL14_HUMAN,30
CXL16_HUMAN,15
CXL17_HUMAN,13
CXX1_HUMAN,62
CXXC1_HUMAN,22
CXXC4_HUMAN,11
CXXC5_HUMAN,54
CY1_HUMAN,68
CY24A_HUMAN,45
CY24B_HUMAN,35
CY561_HUMAN,23
CYAC3_HUMAN,38
CYB5B_HUMAN,45
CYB5_HUMAN,41
CYBP_HUMAN,64
CYBR1_HUMAN,47
CYB_HUMAN,
CYC_HUMAN,32
CYFP1_HUMAN,71
CYFP2_HUMAN,44
CYGB_HUMAN,56
CYH1_HUMAN,47
CYH2_HUMAN,18
CYH3_HUMAN,44
CYH4_HUMAN,38
CYHR1_HUMAN,41
CYLC1_HUMAN,
CYLC2_HUMAN,7
CYLD_HUMAN,55
CYR61_HUMAN,49
CYS1_HUMAN,21
CYTA_HUMAN,12
CYTB_HUMAN,14
CYTC_HUMAN,49
CYTD_HUMAN,3
CYTF_HUMAN,28
CYTIP_HUMAN,47
CYTL1_HUMAN,22
CYTM1_HUMAN,27
CYTM_HUMAN,16
CYTN_HUMAN,4
CYTSA_HUMAN,56
CYTSB_HUMAN,24
CYTS_HUMAN,4
CYTT_HUMAN,3
CYYR1_HUMAN,52
D103A_HUMAN,
D104A_HUMAN,
D105A_HUMAN,
D106A_HUMAN,
D107A_HUMAN,
D108A_HUMAN,
D108B_HUMAN,0
D10OS_HUMAN,
D11L8_HUMAN,
D19L1_HUMAN,42
D19L2_HUMAN,13
D19L3_HUMAN,21
D19L4_HUMAN,42
D19P1_HUMAN,
D19P2_HUMAN,5
D2HDH_HUMAN,31
D39U1_HUMAN,30
D42E1_HUMAN,22
D42E2_HUMAN,
DAAF1_HUMAN,0
DAAF3_HUMAN,9
DAAF5_HUMAN,
DAAM1_HUMAN,26
DAAM2_HUMAN,22
DAB1_HUMAN,6
DAB2P_HUMAN,60
DAB2_HUMAN,37
DACH1_HUMAN,19
DACH2_HUMAN,7
DACT1_HUMAN,33
DACT2_HUMAN,9
DACT3_HUMAN,14
DAD1_HUMAN,38
DAF_HUMAN,31
DAG1_HUMAN,38
DALD3_HUMAN,22
DANCR_HUMAN,32
DAND5_HUMAN,3
DAOA_HUMAN,
DAP1_HUMAN,50
DAPK1_HUMAN,39
DAPK2_HUMAN,19
DAPK3_HUMAN,60
DAPL1_HUMAN,23
DAPLE_HUMAN,38
DAPP1_HUMAN,38
DAS1_HUMAN,6
DAW1_HUMAN,14
DAXX_HUMAN,52
DAZ1_HUMAN,
DAZ2_HUMAN,
DAZ3_HUMAN,
DAZ4_HUMAN,
DAZL_HUMAN,19
DAZP1_HUMAN,75
DAZP2_HUMAN,43
DB109_HUMAN,0
DB110_HUMAN,
DB112_HUMAN,
DB113_HUMAN,
DB114_HUMAN,
DB115_HUMAN,
DB116_HUMAN,
DB118_HUMAN,
DB119_HUMAN,
DB121_HUMAN,
DB123_HUMAN,
DB124_HUMAN,0
DB125_HUMAN,
DB126_HUMAN,
DB127_HUMAN,
DB128_HUMAN,
DB129_HUMAN,
DB130_HUMAN,
DB131_HUMAN,
DB132_HUMAN,27
DB133_HUMAN,
DB134_HUMAN,2
DB135_HUMAN,
DB136_HUMAN,
DBF4A_HUMAN,54
DBF4B_HUMAN,15
DBLOH_HUMAN,12
DBND1_HUMAN,32
DBND2_HUMAN,12
DBNL_HUMAN,43
DBP_HUMAN,14
DBR1_HUMAN,17
DBX1_HUMAN,2
DBX2_HUMAN,2
DC121_HUMAN,3
DC122_HUMAN,7
DC1I1_HUMAN,18
DC1I2_HUMAN,30
DC1L1_HUMAN,30
DC1L2_HUMAN,39
DC2L1_HUMAN,30
DC4L1_HUMAN,18
DC4L2_HUMAN,13
DC8L1_HUMAN,1
DC8L2_HUMAN,0
DCA10_HUMAN,38
DCA11_HUMAN,51
DCA12_HUMAN,29
DCA13_HUMAN,44
DCA15_HUMAN,55
DCA16_HUMAN,43
DCA17_HUMAN,45
DCAF4_HUMAN,18
DCAF5_HUMAN,24
DCAF6_HUMAN,30
DCAF7_HUMAN,34
DCAF8_HUMAN,3
DCAKD_HUMAN,27
DCAM_HUMAN,28
DCBD1_HUMAN,41
DCBD2_HUMAN,23
DCC1_HUMAN,62
DCC_HUMAN,9
DCD2B_HUMAN,4
DCD2C_HUMAN,1
DCDC1_HUMAN,4
DCDC2_HUMAN,22
DCDC5_HUMAN,
DCD_HUMAN,2
DCE1_HUMAN,18
DCE2_HUMAN,13
DCHS_HUMAN,15
DCK_HUMAN,47
DCLK1_HUMAN,22
DCLK2_HUMAN,23
DCLK3_HUMAN,1
DCMC_HUMAN,33
DCNL1_HUMAN,21
DCNL2_HUMAN,21
DCNL3_HUMAN,31
DCNL4_HUMAN,21
DCNL5_HUMAN,43
DCNP1_HUMAN,
DCOR_HUMAN,32
DCP1A_HUMAN,27
DCP1B_HUMAN,33
DCP2_HUMAN,37
DCPS_HUMAN,55
DCR1A_HUMAN,34
DCR1B_HUMAN,38
DCR1C_HUMAN,14
DCST1_HUMAN,6
DCST2_HUMAN,4
DCSTP_HUMAN,2
DCTD_HUMAN,75
DCTN1_HUMAN,35
DCTN2_HUMAN,62
DCTN3_HUMAN,55
DCTN4_HUMAN,35
DCTN5_HUMAN,50
DCTN6_HUMAN,39
DCTP1_HUMAN,65
DCUP_HUMAN,46
DCXR_HUMAN,38
DCX_HUMAN,12
DD19A_HUMAN,51
DD19B_HUMAN,27
DDA1_HUMAN,52
DDAH1_HUMAN,46
DDAH2_HUMAN,54
DDB1_HUMAN,69
DDB2_HUMAN,60
DDC_HUMAN,22
DDHD1_HUMAN,37
DDHD2_HUMAN,36
DDI1_HUMAN,5
DDI2_HUMAN,
DDIAS_HUMAN,
DDIT3_HUMAN,28
DDIT4_HUMAN,65
DDR1_HUMAN,43
DDR2_HUMAN,51
DDRGK_HUMAN,35
DDT4L_HUMAN,26
DDTL_HUMAN,11
DDX10_HUMAN,31
DDX11_HUMAN,37
DDX12_HUMAN,18
DDX17_HUMAN,36
DDX18_HUMAN,39
DDX1_HUMAN,62
DDX20_HUMAN,11
DDX21_HUMAN,57
DDX23_HUMAN,75
DDX24_HUMAN,36
DDX25_HUMAN,7
DDX27_HUMAN,29
DDX28_HUMAN,43
DDX31_HUMAN,28
DDX3X_HUMAN,56
DDX3Y_HUMAN,11
DDX41_HUMAN,65
DDX42_HUMAN,48
DDX43_HUMAN,20
DDX46_HUMAN,43
DDX47_HUMAN,10
DDX49_HUMAN,44
DDX4_HUMAN,10
DDX50_HUMAN,34
DDX51_HUMAN,39
DDX52_HUMAN,52
DDX53_HUMAN,6
DDX54_HUMAN,42
DDX55_HUMAN,53
DDX56_HUMAN,52
DDX58_HUMAN,16
DDX59_HUMAN,20
DDX5_HUMAN,18
DDX60_HUMAN,27
DDX6L_HUMAN,27
DDX6_HUMAN,50
DEAF1_HUMAN,15
DEC1_HUMAN,2
DECR2_HUMAN,42
DECR_HUMAN,46
DEDD2_HUMAN,34
DEDD_HUMAN,26
DEF1_HUMAN,17
DEF3_HUMAN,
DEF4_HUMAN,14
DEF5_HUMAN,
DEF6_HUMAN,12
DEFB1_HUMAN,32
DEFI6_HUMAN,40
DEFI8_HUMAN,21
DEFM_HUMAN,21
DEGS1_HUMAN,37
DEGS2_HUMAN,16
DEK_HUMAN,70
DELE_HUMAN,44
DEMA_HUMAN,26
DEN1A_HUMAN,14
DEN1B_HUMAN,20
DEN1C_HUMAN,45
DEN2A_HUMAN,33
DEN2C_HUMAN,15
DEN2D_HUMAN,32
DEN4B_HUMAN,34
DEN4C_HUMAN,37
DEN5A_HUMAN,36
DEN5B_HUMAN,27
DEN6A_HUMAN,33
DEN6B_HUMAN,17
DEND3_HUMAN,37
DEND_HUMAN,22
DENR_HUMAN,59
DEOC_HUMAN,27
DEP1A_HUMAN,52
DEP1B_HUMAN,68
DEPD4_HUMAN,7
DEPD5_HUMAN,10
DEPD7_HUMAN,17
DEPP_HUMAN,
DERL1_HUMAN,34
DERL2_HUMAN,33
DERL3_HUMAN,4
DERM_HUMAN,46
DESI1_HUMAN,36
DESI2_HUMAN,45
DESM_HUMAN,23
DESP_HUMAN,20
DEST_HUMAN,36
DET1_HUMAN,23
DEUP1_HUMAN,
DEXI_HUMAN,44
DFB4A_HUMAN,3
DFFA_HUMAN,53
DFFB_HUMAN,15
DFNA5_HUMAN,34
DG2L6_HUMAN,2
DG2L7_HUMAN,
DGAT1_HUMAN,45
DGAT2_HUMAN,36
DGC14_HUMAN,22
DGC6L_HUMAN,46
DGCR6_HUMAN,34
DGCR8_HUMAN,36
DGKA_HUMAN,20
DGKB_HUMAN,13
DGKD_HUMAN,31
DGKE_HUMAN,27
DGKG_HUMAN,5
DGKH_HUMAN,22
DGKI_HUMAN,5
DGKK_HUMAN,
DGKQ_HUMAN,31
DGKZ_HUMAN,37
DGLA_HUMAN,12
DGLB_HUMAN,18
DGUOK_HUMAN,50
DHAS1_HUMAN,28
DHB11_HUMAN,49
DHB12_HUMAN,47
DHB13_HUMAN,24
DHB14_HUMAN,33
DHB1_HUMAN,9
DHB2_HUMAN,39
DHB3_HUMAN,4
DHB4_HUMAN,36
DHB7_HUMAN,45
DHB8_HUMAN,13
DHC24_HUMAN,27
DHCR7_HUMAN,47
DHDDS_HUMAN,17
DHDH_HUMAN,5
DHE3_HUMAN,41
DHE4_HUMAN,39
DHH_HUMAN,0
DHI1L_HUMAN,26
DHI1_HUMAN,32
DHI2_HUMAN,14
DHPR_HUMAN,25
DHR11_HUMAN,23
DHR12_HUMAN,21
DHR13_HUMAN,37
DHRS1_HUMAN,32
DHRS2_HUMAN,12
DHRS3_HUMAN,54
DHRS4_HUMAN,45
DHRS7_HUMAN,18
DHRS9_HUMAN,9
DHRSX_HUMAN,
DHSD_HUMAN,43
DHSO_HUMAN,28
DHTK1_HUMAN,46
DHX15_HUMAN,79
DHX16_HUMAN,55
DHX29_HUMAN,53
DHX30_HUMAN,62
DHX32_HUMAN,45
DHX33_HUMAN,67
DHX34_HUMAN,36
DHX35_HUMAN,23
DHX36_HUMAN,25
DHX37_HUMAN,66
DHX40_HUMAN,43
DHX57_HUMAN,10
DHX58_HUMAN,23
DHX8_HUMAN,47
DHX9_HUMAN,74
DHYS_HUMAN,49
DI3L1_HUMAN,23
DI3L2_HUMAN,9
DIA1R_HUMAN,39
DIA1_HUMAN,30
DIAC_HUMAN,36
DIAP1_HUMAN,65
DIAP2_HUMAN,32
DIAP3_HUMAN,54
DICER_HUMAN,41
DIC_HUMAN,9
DIDO1_HUMAN,33
DIEXF_HUMAN,37
DIM1_HUMAN,54
DIP2A_HUMAN,22
DIP2B_HUMAN,51
DIP2C_HUMAN,36
DIRA1_HUMAN,23
DIRA2_HUMAN,18
DIRA3_HUMAN,17
DIRC1_HUMAN,1
DIRC2_HUMAN,31
DISC1_HUMAN,14
DISP1_HUMAN,16
DISP2_HUMAN,13
DISP3_HUMAN,
DIXC1_HUMAN,56
DJB11_HUMAN,59
DJB12_HUMAN,27
DJB13_HUMAN,0
DJB14_HUMAN,48
DJC10_HUMAN,42
DJC11_HUMAN,28
DJC12_HUMAN,30
DJC13_HUMAN,37
DJC14_HUMAN,43
DJC15_HUMAN,17
DJC16_HUMAN,32
DJC17_HUMAN,13
DJC18_HUMAN,11
DJC21_HUMAN,19
DJC22_HUMAN,27
DJC24_HUMAN,13
DJC25_HUMAN,20
DJC27_HUMAN,14
DJC28_HUMAN,4
DJC30_HUMAN,19
DKC1_HUMAN,56
DKK1_HUMAN,26
DKK2_HUMAN,23
DKK3_HUMAN,33
DKK4_HUMAN,7
DKKL1_HUMAN,5
DLDH_HUMAN,54
DLEC1_HUMAN,0
DLG1_HUMAN,39
DLG2_HUMAN,16
DLG3_HUMAN,27
DLG4_HUMAN,21
DLG5_HUMAN,41
DLGP1_HUMAN,18
DLGP2_HUMAN,3
DLGP3_HUMAN,16
DLGP4_HUMAN,47
DLGP5_HUMAN,25
DLK1_HUMAN,26
DLK2_HUMAN,2
DLL1_HUMAN,16
DLL3_HUMAN,23
DLL4_HUMAN,23
DLP1_HUMAN,34
DLRB1_HUMAN,45
DLRB2_HUMAN,1
DLX1_HUMAN,24
DLX2_HUMAN,19
DLX3_HUMAN,8
DLX4_HUMAN,14
DLX5_HUMAN,15
DLX6_HUMAN,22
DMAP1_HUMAN,27
DMA_HUMAN,41
DMBT1_HUMAN,8
DMBX1_HUMAN,2
DMB_HUMAN,36
DMC1_HUMAN,19
DMD_HUMAN,24
DMKN_HUMAN,18
DMP1_HUMAN,5
DMP34_HUMAN,
DMP46_HUMAN,1
DMPK_HUMAN,39
DMRT1_HUMAN,2
DMRT2_HUMAN,22
DMRT3_HUMAN,6
DMRTA_HUMAN,19
DMRTB_HUMAN,21
DMRTC_HUMAN,8
DMRTD_HUMAN,1
DMTA2_HUMAN,3
DMTF1_HUMAN,38
DMWD_HUMAN,46
DMXL1_HUMAN,44
DMXL2_HUMAN,35
DNA2_HUMAN,58
DNAI1_HUMAN,0
DNAI2_HUMAN,2
DNAL1_HUMAN,17
DNAL4_HUMAN,26
DNAS1_HUMAN,10
DND1_HUMAN,
DNER_HUMAN,18
DNHD1_HUMAN,20
DNJ5B_HUMAN,3
DNJ5G_HUMAN,0
DNJA1_HUMAN,26
DNJA2_HUMAN,42
DNJA3_HUMAN,73
DNJA4_HUMAN,23
DNJB1_HUMAN,15
DNJB2_HUMAN,37
DNJB3_HUMAN,
DNJB4_HUMAN,42
DNJB5_HUMAN,29
DNJB6_HUMAN,26
DNJB7_HUMAN,9
DNJB8_HUMAN,7
DNJB9_HUMAN,46
DNJC1_HUMAN,23
DNJC2_HUMAN,39
DNJC3_HUMAN,34
DNJC4_HUMAN,6
DNJC5_HUMAN,53
DNJC7_HUMAN,56
DNJC8_HUMAN,58
DNJC9_HUMAN,12
DNLI1_HUMAN,60
DNLI3_HUMAN,19
DNLI4_HUMAN,22
DNLZ_HUMAN,4
DNM1L_HUMAN,52
DNM3A_HUMAN,28
DNM3B_HUMAN,25
DNM3L_HUMAN,8
DNMBP_HUMAN,23
DNMT1_HUMAN,24
DNPEP_HUMAN,33
DNPH1_HUMAN,51
DNS2A_HUMAN,21
DNS2B_HUMAN,21
DNSL1_HUMAN,50
DNSL2_HUMAN,7
DNSL3_HUMAN,23
DOA_HUMAN,42
DOB_HUMAN,34
DOC10_HUMAN,39
DOC11_HUMAN,40
DOC2A_HUMAN,12
DOC2B_HUMAN,7
DOCK1_HUMAN,53
DOCK2_HUMAN,55
DOCK3_HUMAN,6
DOCK4_HUMAN,15
DOCK5_HUMAN,34
DOCK6_HUMAN,44
DOCK7_HUMAN,45
DOCK8_HUMAN,46
DOCK9_HUMAN,31
DOHH_HUMAN,42
DOK1_HUMAN,53
DOK2_HUMAN,27
DOK3_HUMAN,33
DOK4_HUMAN,29
DOK5_HUMAN,22
DOK6_HUMAN,18
DOK7_HUMAN,14
DOLK_HUMAN,45
DONS_HUMAN,64
DOP1_HUMAN,19
DOP2_HUMAN,16
DOPD_HUMAN,37
DOPO_HUMAN,18
DOPP1_HUMAN,48
DOT1L_HUMAN,66
DOXA1_HUMAN,14
DOXA2_HUMAN,11
DP13A_HUMAN,46
DP13B_HUMAN,28
DPA1_HUMAN,42
DPB1_HUMAN,39
DPCA2_HUMAN,2
DPCD_HUMAN,35
DPCR1_HUMAN,5
DPEP1_HUMAN,15
DPEP2_HUMAN,26
DPEP3_HUMAN,16
DPF1_HUMAN,19
DPF3_HUMAN,7
DPH1_HUMAN,38
DPH2_HUMAN,49
DPH3B_HUMAN,
DPH3_HUMAN,32
DPH5_HUMAN,42
DPH6_HUMAN,32
DPH7_HUMAN,32
DPM1_HUMAN,40
DPM2_HUMAN,48
DPM3_HUMAN,39
DPOA2_HUMAN,73
DPOD1_HUMAN,65
DPOD2_HUMAN,60
DPOD3_HUMAN,42
DPOD4_HUMAN,27
DPOE1_HUMAN,47
DPOE2_HUMAN,63
DPOE3_HUMAN,36
DPOE4_HUMAN,38
DPOG1_HUMAN,39
DPOG2_HUMAN,20
DPOLA_HUMAN,50
DPOLB_HUMAN,18
DPOLL_HUMAN,40
DPOLM_HUMAN,30
DPOLN_HUMAN,5
DPOLQ_HUMAN,42
DPP10_HUMAN,16
DPP2_HUMAN,35
DPP3_HUMAN,78
DPP4_HUMAN,33
DPP6_HUMAN,16
DPP8_HUMAN,38
DPP9_HUMAN,10
DPPA2_HUMAN,17
DPPA3_HUMAN,19
DPPA4_HUMAN,24
DPPA5_HUMAN,22
DPRX_HUMAN,16
DPS1_HUMAN,49
DPTOR_HUMAN,32
DPY30_HUMAN,32
DPYD_HUMAN,37
DPYL1_HUMAN,18
DPYL2_HUMAN,17
DPYL3_HUMAN,31
DPYL4_HUMAN,23
DPYL5_HUMAN,14
DPYS_HUMAN,30
DQA1_HUMAN,46
DQA2_HUMAN,37
DQB1_HUMAN,45
DQB2_HUMAN,31
DQX1_HUMAN,3
DR4L1_HUMAN,
DR4L2_HUMAN,
DR9C7_HUMAN,6
DRAM1_HUMAN,37
DRAM2_HUMAN,47
DRAXI_HUMAN,13
DRA_HUMAN,42
DRB3_HUMAN,
DRB4_HUMAN,
DRB5_HUMAN,32
DRC1_HUMAN,4
DRC3_HUMAN,
DRC7_HUMAN,
DRD1_HUMAN,3
DRD2_HUMAN,7
DRD3_HUMAN,1
DRD4_HUMAN,5
DRD5_HUMAN,5
DREB_HUMAN,51
DRG1_HUMAN,44
DRG2_HUMAN,46
DRGX_HUMAN,0
DRIC1_HUMAN,
DRP2_HUMAN,8
DRS7B_HUMAN,14
DRS7C_HUMAN,17
DS13A_HUMAN,18
DS13B_HUMAN,18
DSA2D_HUMAN,
DSC10_HUMAN,
DSC1_HUMAN,13
DSC2_HUMAN,17
DSC3_HUMAN,11
DSCAM_HUMAN,8
DSCL1_HUMAN,5
DSCR3_HUMAN,57
DSCR4_HUMAN,1
DSCR6_HUMAN,2
DSCR8_HUMAN,14
DSCR9_HUMAN,4
DSEL_HUMAN,32
DSE_HUMAN,50
DSG1_HUMAN,15
DSG2_HUMAN,40
DSG3_HUMAN,14
DSG4_HUMAN,4
DSN1_HUMAN,63
DSPP_HUMAN,5
DSRAD_HUMAN,73
DTBP1_HUMAN,17
DTD1_HUMAN,54
DTD2_HUMAN,30
DTHD1_HUMAN,17
DTL_HUMAN,50
DTNA_HUMAN,18
DTNB_HUMAN,8
DTWD1_HUMAN,15
DTWD2_HUMAN,18
DTX1_HUMAN,29
DTX2_HUMAN,18
DTX3L_HUMAN,47
DTX3_HUMAN,34
DTX4_HUMAN,30
DU4L2_HUMAN,
DU4L3_HUMAN,
DU4L4_HUMAN,
DU4L5_HUMAN,
DU4L6_HUMAN,
DU4L7_HUMAN,
DUOX1_HUMAN,13
DUOX2_HUMAN,13
DUPD1_HUMAN,7
DUS10_HUMAN,27
DUS11_HUMAN,37
DUS12_HUMAN,24
DUS14_HUMAN,46
DUS15_HUMAN,6
DUS16_HUMAN,40
DUS18_HUMAN,4
DUS19_HUMAN,20
DUS1L_HUMAN,54
DUS1_HUMAN,47
DUS21_HUMAN,8
DUS22_HUMAN,22
DUS23_HUMAN,24
DUS26_HUMAN,25
DUS27_HUMAN,25
DUS28_HUMAN,6
DUS2L_HUMAN,21
DUS2_HUMAN,47
DUS3L_HUMAN,49
DUS3_HUMAN,50
DUS4L_HUMAN,25
DUS4_HUMAN,38
DUS5_HUMAN,40
DUS6_HUMAN,39
DUS7_HUMAN,28
DUS8_HUMAN,26
DUS9_HUMAN,28
DUSTY_HUMAN,30
DUTL_HUMAN,
DUT_HUMAN,41
DUX1_HUMAN,
DUX3_HUMAN,
DUX4C_HUMAN,4
DUX4_HUMAN,
DUX5_HUMAN,
DUXA_HUMAN,17
DVL1_HUMAN,51
DVL2_HUMAN,59
DVL3_HUMAN,63
DVLP1_HUMAN,
DWORF_HUMAN,
DX39A_HUMAN,46
DX39B_HUMAN,36
DXO_HUMAN,34
DYDC1_HUMAN,0
DYDC2_HUMAN,3
DYH10_HUMAN,17
DYH11_HUMAN,21
DYH12_HUMAN,5
DYH14_HUMAN,9
DYH17_HUMAN,2
DYH1_HUMAN,1
DYH2_HUMAN,4
DYH3_HUMAN,9
DYH5_HUMAN,2
DYH6_HUMAN,8
DYH7_HUMAN,4
DYH8_HUMAN,0
DYH9_HUMAN,1
DYHC1_HUMAN,53
DYHC2_HUMAN,26
DYL1_HUMAN,43
DYL2_HUMAN,24
DYLT1_HUMAN,32
DYLT3_HUMAN,39
DYM_HUMAN,23
DYN1_HUMAN,17
DYN2_HUMAN,54
DYN3_HUMAN,16
DYNAP_HUMAN,4
DYR1A_HUMAN,51
DYR1B_HUMAN,10
DYR2_HUMAN,
DYRK2_HUMAN,24
DYRK3_HUMAN,28
DYRK4_HUMAN,9
DYR_HUMAN,79
DYSF_HUMAN,23
DYST_HUMAN,22
DYTN_HUMAN,2
DYXC1_HUMAN,0
DZAN1_HUMAN,1
DZI1L_HUMAN,8
DZIP1_HUMAN,19
DZIP3_HUMAN,25
E2AK1_HUMAN,44
E2AK2_HUMAN,30
E2AK3_HUMAN,36
E2AK4_HUMAN,64
E2F1_HUMAN,53
E2F2_HUMAN,40
E2F3_HUMAN,75
E2F4_HUMAN,58
E2F5_HUMAN,38
E2F6_HUMAN,22
E2F7_HUMAN,69
E2F8_HUMAN,48
E400N_HUMAN,7
E41L1_HUMAN,26
E41L2_HUMAN,37
E41L3_HUMAN,11
E41L5_HUMAN,26
E41LA_HUMAN,16
E41LB_HUMAN,33
E4F1_HUMAN,28
EAA1_HUMAN,14
EAA2_HUMAN,9
EAA3_HUMAN,32
EAA4_HUMAN,3
EAA5_HUMAN,1
EAF1_HUMAN,19
EAF2_HUMAN,32
EAF6_HUMAN,30
EAPP_HUMAN,23
EBLN1_HUMAN,19
EBLN2_HUMAN,9
EBP2_HUMAN,52
EBPL_HUMAN,45
EBP_HUMAN,40
ECD_HUMAN,52
ECE1_HUMAN,59
ECE2_HUMAN,9
ECEL1_HUMAN,14
ECH1_HUMAN,41
ECHA_HUMAN,61
ECHB_HUMAN,44
ECHD1_HUMAN,45
ECHD2_HUMAN,37
ECHD3_HUMAN,52
ECHM_HUMAN,35
ECHP_HUMAN,33
ECI1_HUMAN,50
ECI2_HUMAN,43
ECM1_HUMAN,17
ECM29_HUMAN,
ECM2_HUMAN,48
ECP_HUMAN,22
ECSCR_HUMAN,26
ECSIT_HUMAN,41
ECT2L_HUMAN,4
ECT2_HUMAN,54
EDAD_HUMAN,15
EDAR_HUMAN,9
EDA_HUMAN,18
EDC3_HUMAN,65
EDC4_HUMAN,54
EDEM1_HUMAN,56
EDEM2_HUMAN,40
EDEM3_HUMAN,36
EDF1_HUMAN,51
EDIL3_HUMAN,26
EDN1_HUMAN,24
EDN2_HUMAN,5
EDN3_HUMAN,23
EDNRA_HUMAN,40
EDNRB_HUMAN,45
EDRF1_HUMAN,13
EEA1_HUMAN,20
EED_HUMAN,31
EEPD1_HUMAN,21
EF1A1_HUMAN,51
EF1A2_HUMAN,22
EF1A3_HUMAN,
EF1B_HUMAN,50
EF1DL_HUMAN,
EF1D_HUMAN,51
EF1G_HUMAN,10
EF2KT_HUMAN,
EF2K_HUMAN,31
EF2_HUMAN,79
EFC10_HUMAN,
EFC11_HUMAN,8
EFC12_HUMAN,7
EFC13_HUMAN,8
EFC14_HUMAN,38
EFC1_HUMAN,
EFC2_HUMAN,
EFC4A_HUMAN,
EFC4B_HUMAN,
EFCB1_HUMAN,0
EFCB2_HUMAN,0
EFCB3_HUMAN,5
EFCB5_HUMAN,2
EFCB6_HUMAN,6
EFCB7_HUMAN,13
EFCB8_HUMAN,1
EFCB9_HUMAN,1
EFCC1_HUMAN,4
EFGM_HUMAN,60
EFHB_HUMAN,2
EFHC1_HUMAN,19
EFHC2_HUMAN,18
EFHD1_HUMAN,18
EFHD2_HUMAN,42
EFL1_HUMAN,
EFNA1_HUMAN,40
EFNA2_HUMAN,21
EFNA3_HUMAN,21
EFNA4_HUMAN,18
EFNA5_HUMAN,22
EFNB1_HUMAN,61
EFNB2_HUMAN,35
EFNB3_HUMAN,15
EFR3A_HUMAN,46
EFR3B_HUMAN,7
EFS_HUMAN,31
EFTS_HUMAN,34
EFTU_HUMAN,62
EGFEM_HUMAN,4
EGFL6_HUMAN,31
EGFL7_HUMAN,43
EGFL8_HUMAN,18
EGFLA_HUMAN,19
EGFR_HUMAN,39
EGF_HUMAN,16
EGLN1_HUMAN,34
EGLN2_HUMAN,17
EGLN3_HUMAN,29
EGLN_HUMAN,45
EGR1_HUMAN,47
EGR2_HUMAN,33
EGR3_HUMAN,21
EGR4_HUMAN,8
EH1L1_HUMAN,40
EHBP1_HUMAN,19
EHD1_HUMAN,55
EHD2_HUMAN,57
